ID	t	A0	notFoundBySE
48	1.00000	0.365544	
48	3.00000	0.416857	
48	5.00000	0.238326	
48	7.00000	0.177143	
48	10.0000	0.158038	
48	14.0000	0.123557	
49	1.00000	0.608414	
49	3.00000	0.568544	
49	5.00000	0.558437	
49	7.00000	0.555477	
49	10.0000	0.538249	
49	14.0000	0.504954	
50	1.00000	0.187293	
50	3.00000	0.202799	
50	5.00000	0.133328	
50	10.0000	0.103832	
50	14.0000	0.448388	
51	1.00000	0.319431	
51	5.00000	0.256772	
51	7.00000	0.220863	
51	10.0000	0.0799241	
51	14.0000	0.180411	
52	3.00000	0.498152	
52	7.00000	0.341382	
52	10.0000	0.324330	
52	14.0000	0.332493	
53	1.00000	0.202572	
53	3.00000	0.140076	
53	5.00000	0.0988199	
53	10.0000	0.234728	
53	14.0000	0.114562	
54	1.00000	0.508061	
54	3.00000	0.301994	
54	5.00000	0.504507	
54	7.00000	0.496917	
54	10.0000	0.266110	
54	14.0000	0.224071	
55	1.00000	0.472484	
55	3.00000	0.462691	
55	5.00000	0.356976	
55	10.0000	0.355845	
55	14.0000	0.241284	
56	1.00000	0.244572	
56	5.00000	0.174376	
56	7.00000	0.141331	
56	10.0000	0.106682	
56	14.0000	0.219501	
57	1.00000	0.656097	
57	3.00000	0.591807	
57	5.00000	0.444616	
57	7.00000	0.540597	
57	10.0000	0.369171	
57	14.0000	0.355901	
58	1.00000	0.377572	
58	3.00000	0.324874	
58	5.00000	0.286850	
58	7.00000	0.253170	
58	10.0000	0.244347	
58	14.0000	0.217341	
59	1.00000	0.481104	
59	3.00000	0.444250	
59	5.00000	0.397852	
59	7.00000	0.394775	
59	10.0000	0.374828	
59	14.0000	0.345469	
60	1.00000	0.418563	
60	3.00000	0.387763	
60	5.00000	0.352451	
60	7.00000	0.329511	
60	10.0000	0.297056	
60	14.0000	0.273141	
61	1.00000	0.397479	
61	3.00000	0.374544	
61	5.00000	0.343860	
61	7.00000	0.319928	
61	10.0000	0.295576	
61	14.0000	0.265942	
62	1.00000	0.423240	
62	3.00000	0.567567	
62	5.00000	0.365204	
62	7.00000	0.383786	
62	10.0000	0.378159	
62	14.0000	0.433136	
63	1.00000	0.323757	
63	3.00000	0.298082	
63	5.00000	0.527778	
63	10.0000	0.188387	
63	14.0000	0.277264	
64	1.00000	0.438488	
64	3.00000	0.432130	
64	5.00000	0.384104	
64	7.00000	0.346842	
64	10.0000	0.276433	
65	1.00000	0.110467	
65	3.00000	0.323839	
65	5.00000	0.352720	
65	7.00000	0.250870	
65	10.0000	0.229138	
65	14.0000	0.200894	
66	1.00000	0.274246	
66	3.00000	0.265899	
66	5.00000	0.365116	
66	7.00000	0.229419	
66	10.0000	0.231829	
66	14.0000	0.208434	
67	1.00000	0.311922	
67	3.00000	0.301168	
67	5.00000	0.284361	
67	7.00000	0.267164	
67	10.0000	0.264575	
67	14.0000	0.246010	
68	1.00000	0.313143	
68	3.00000	0.306433	
68	5.00000	0.294700	
68	7.00000	0.269053	
68	10.0000	0.273475	
68	14.0000	0.240864	
69	1.00000	0.504835	
69	3.00000	0.504257	
69	5.00000	0.479764	
69	7.00000	0.465224	
69	10.0000	0.458550	
69	14.0000	0.438392	
70	1.00000	0.564507	
70	5.00000	0.538671	
70	7.00000	0.503827	
70	10.0000	0.507300	
71	1.00000	0.280832	
71	5.00000	0.244603	
71	7.00000	0.223720	
71	10.0000	0.225362	
72	1.00000	0.559254	
72	3.00000	0.551622	
72	10.0000	0.448087	
72	14.0000	0.409846	
73	1.00000	0.238421	
73	3.00000	0.160189	
73	5.00000	0.0877505	
73	10.0000	0.0827789	
74	3.00000	0.344909	
74	5.00000	0.303321	
